"","CommonName","Year","ExportCountry","TotalExportWeight","TotalTotalPrice","TotalAvgUnitPrice"
"2935","Salmon, Trout & Other Salmonidae Fish","2020","Netherlands",115494,5307382,45.9523360520893
"2936","Salmon, Trout & Other Salmonidae Fish","2020","New Caledonia",4435,146402,33.0114768883878
"2937","Salmon, Trout & Other Salmonidae Fish","2020","Niue",2441,80848,33.1204424416223
"2938","Salmon, Trout & Other Salmonidae Fish","2020","Norfolk Island",25,386,15.44
"2939","Salmon, Trout & Other Salmonidae Fish","2020","Northern Mariana Islands",490,20624,42.0867346938776
"2940","Salmon, Trout & Other Salmonidae Fish","2020","Palau",164,6315,38.5062195121951
"2941","Salmon, Trout & Other Salmonidae Fish","2020","Papua New Guinea",4965,74799,15.0650594159114
"2942","Salmon, Trout & Other Salmonidae Fish","2020","Philippines",3493,94421,27.0319238476954
"2943","Salmon, Trout & Other Salmonidae Fish","2020","Samoa",3207,76929,23.9851637043966
"2944","Salmon, Trout & Other Salmonidae Fish","2020","Singapore",151456,4034798,26.6378453808367
"2945","Salmon, Trout & Other Salmonidae Fish","2020","Solomon Islands",798,21630,27.11
"2946","Salmon, Trout & Other Salmonidae Fish","2020","South Korea",16026,742996,46.3578821914389
"2947","Salmon, Trout & Other Salmonidae Fish","2020","Switzerland",4224,259690,61.4809398674242
"2948","Salmon, Trout & Other Salmonidae Fish","2020","Taiwan",114323,1515592,13.2557883365552
"2949","Salmon, Trout & Other Salmonidae Fish","2020","Thailand",90092,1812646,20.1199265195578
"2950","Salmon, Trout & Other Salmonidae Fish","2020","Tonga",2274,38977,17.1415567282322
"2951","Salmon, Trout & Other Salmonidae Fish","2020","Ukraine",705,18895,26.8048936170213
"2952","Salmon, Trout & Other Salmonidae Fish","2020","United Arab Emirates",16981,467328,27.5208468288087
"2953","Salmon, Trout & Other Salmonidae Fish","2020","United Kingdom",8538,182773,21.4079772780511
"2954","Salmon, Trout & Other Salmonidae Fish","2020","United States",2702483,60654759,22.4473685421888
"2955","Salmon, Trout & Other Salmonidae Fish","2020","Vanuatu",1657,39744,23.9845624622812
"2956","Salmon, Trout & Other Salmonidae Fish","2020","Vietnam",12129,25639,2.11440761810537
"2957","Salmon, Trout & Other Salmonidae Fish","2020","Wallis & Futuna",10,1129,112.9
"2958","Salmon, Trout & Other Salmonidae Fish","2021","American Samoa",300,12328,41.09
"2959","Salmon, Trout & Other Salmonidae Fish","2021","Antarctica",60,600,10
"2960","Salmon, Trout & Other Salmonidae Fish","2021","Australia",2330963,13778889,5.91068226308183
"2961","Salmon, Trout & Other Salmonidae Fish","2021","Canada",684756,10101817,14.7556712902114
"2962","Salmon, Trout & Other Salmonidae Fish","2021","China",788338,13840888,17.5563258272467
"2963","Salmon, Trout & Other Salmonidae Fish","2021","Cook Islands",3516,68582,19.5052133105802
"2964","Salmon, Trout & Other Salmonidae Fish","2021","Cyprus",614,24269,39.53
"2965","Salmon, Trout & Other Salmonidae Fish","2021","Denmark",20852,344222,16.5084672933052
"2966","Salmon, Trout & Other Salmonidae Fish","2021","Fiji",4729,64916,13.7263226897864
"2967","Salmon, Trout & Other Salmonidae Fish","2021","French Polynesia",19200,662864,34.5248640625
"2968","Salmon, Trout & Other Salmonidae Fish","2021","Guam",1602,91069,56.85
"2969","Salmon, Trout & Other Salmonidae Fish","2021","Hong Kong",140366,2014434,14.3491197298491
"2970","Salmon, Trout & Other Salmonidae Fish","2021","Italy",2411,66551,27.6030029033596
"2971","Salmon, Trout & Other Salmonidae Fish","2021","Japan",1247315,14181238,11.371850061933
"2972","Salmon, Trout & Other Salmonidae Fish","2021","Kiribati",27,754,27.93
"2973","Salmon, Trout & Other Salmonidae Fish","2021","Kuwait",5,1,0.2
"2974","Salmon, Trout & Other Salmonidae Fish","2021","Malaysia",88655,987085,11.135217077435
"2975","Salmon, Trout & Other Salmonidae Fish","2021","Marshall Islands",3,64,21.33
"2976","Salmon, Trout & Other Salmonidae Fish","2021","Netherlands",42931,1328966,30.959217348769
"2977","Salmon, Trout & Other Salmonidae Fish","2021","New Caledonia",7868,160409,20.3907714794103
"2978","Salmon, Trout & Other Salmonidae Fish","2021","Niue",3307,121621,36.7747354097369
"2979","Salmon, Trout & Other Salmonidae Fish","2021","Norfolk Island",156,2243,14.3780769230769
"2980","Salmon, Trout & Other Salmonidae Fish","2021","Northern Mariana Islands",10,205,20.5
"2981","Salmon, Trout & Other Salmonidae Fish","2021","Papua New Guinea",3053,90742,29.7230199803472
"2982","Salmon, Trout & Other Salmonidae Fish","2021","Philippines",6092,160818,26.3984011818779
"2983","Salmon, Trout & Other Salmonidae Fish","2021","Portugal",13510,42831,3.17
"2984","Salmon, Trout & Other Salmonidae Fish","2021","Samoa",6912,150925,21.8358072916667
